"","COM","PTOT"
"572","Chezy-sur-Marne-2",1396
"573","Chierry-2",1135
"574","Chigny-2",152
"575","Chivres-en-Laonnois-2",363
"576","Chivres-Val-2",536
"577","Chivy-les-Etouvelles-2",513
"578","Chouy-2",378
"579","Cierges-2",65
"580","Cilly-2",196
"581","Ciry-Salsogne-2",946
"582","Clacy-et-Thierret-2",321
"583","Clairfontaine-2",637
"584","Clamecy-2",232
"585","Clastres-2",626
"586","Clermont-les-Fermes-2",114
"587","Coincy-2",1314
"588","Coingt-2",69
"589","Colligis-Crandelain-2",242
"590","Colonfay-2",80
"591","Commenchon-2",218
"592","Concevreux-2",279
"593","Conde-en-Brie-2",708
"594","Conde-sur-Aisne-2",368
"595","Conde-sur-Suippe-2",293
"596","Condren-2",717
"597","Connigis-2",342
"598","Contescourt-2",62
"599","Corbeny-2",840
"600","Corcy-2",304
"601","Coucy-la-Ville-2",281
"602","Coucy-le-Chateau-Auffrique-2",1011
"603","Coucy-les-Eppes-2",638
"604","Coulonges-Cohan-2",450
"605","Coupru-2",155
"606","Courbes-2",31
"607","Courboin-2",312
"608","Courcelles-sur-Vesle-2",353
"609","Courchamps-2",88
"610","Courmelles-2",1891
"611","Courmont-2",128
"612","Courtemont-Varennes-2",343
"613","Courtrizy-et-Fussigny-2",69
"614","Couvrelles-2",200
"615","Couvron-et-Aumencourt-2",946
"616","Coyolles-2",368
"617","Cramaille-2",153
"618","Craonne-2",84
"619","Craonnelle-2",119
"620","Crecy-au-Mont-2",341
"621","Crecy-sur-Serre-2",1516
"622","Crepy-2",1861
"623","Crezancy-2",1323
"624","Croix-Fonsomme-2",242
"625","LaCroix-sur-Ourcq-2",103
"626","Crouttes-sur-Marne-2",657
"627","Crouy-2",2959
"628","Crupilly-2",66
"629","Cuffies-2",1821
"630","Cugny-2",616
"631","Cuirieux-2",159
"632","Cuiry-Housse-2",101
"633","Cuiry-les-Chaudardes-2",78
"634","Cuiry-les-Iviers-2",28
"635","Cuissy-et-Geny-2",73
"636","Cuisy-en-Almont-2",361
"637","Cutry-2",135
"638","Cys-la-Commune-2",150
"639","Cœuvres-et-Valsery-2",444
"640","Dagny-Lambercy-2",129
"641","Dallon-2",448
"642","Dammard-2",383
"643","Dampleux-2",411
"644","Danizy-2",663
"645","Dercy-2",400
"646","Deuillet-2",217
"647","Dhuizel-2",113
"648","DhuysetMorin-en-Brie-2",836
"649","Dizy-le-Gros-2",754
"650","Dohis-2",101
"651","Dolignon-2",49
"652","Dommiers-2",300
"653","Domptin-2",661
"654","Dorengt-2",161
"655","Douchy-2",166
"656","Dravegny-2",133
"657","Droizy-2",79
"658","Dury-2",214
"659","Ebouleau-2",203
"660","Effry-2",327
"661","Englancourt-2",125
"662","Epagny-2",348
"663","Eparcy-2",33
"664","Epaux-Bezu-2",580
"665","Epieds-2",413
"666","L'Epine-aux-Bois-2",269
"667","Eppes-2",430
"668","Erlon-2",293
"669","Erloy-2",101
"670","Esqueheries-2",872
"671","Essigny-le-Grand-2",1039
"672","Essigny-le-Petit-2",354
"673","Essises-2",425
"674","Essomes-sur-Marne-2",2834
"675","Estrees-2",419
"676","Etampes-sur-Marne-2",1306
"677","Etaves-et-Bocquiaux-2",565
"678","Etouvelles-2",218
"679","Etreaupont-2",863
"680","Etreillers-2",1224
"681","Etrepilly-2",122
"682","Etreux-2",1448
"683","Evergnicourt-2",564
"684","Faverolles-2",334
"685","Fayet-2",682
"686","LaFere-2",2985
"687","Fere-en-Tardenois-2",3087
"688","LaFerte-Chevresis-2",535
"689","LaFerte-Milon-2",2236
"690","Fesmy-le-Sart-2",488
"691","Festieux-2",682
"692","Fieulaine-2",259
"693","Filain-2",126
"694","LaFlamengrie-2",1120
"695","Flavigny-le-Grand-et-Beaurain-2",461
"696","Flavy-le-Martel-2",1712
"697","Fleury-2",137
"698","Fluquieres-2",224
"699","Folembray-2",1406
"700","Fonsomme-2",487
"701","Fontaine-les-Clercs-2",245
"702","Fontaine-les-Vervins-2",1093
"703","Fontaine-Notre-Dame-2",388
"704","Fontaine-Uterte-2",134
"705","Fontenelle-2",283
"706","Fontenoy-2",487
"707","Foreste-2",165
"708","Fossoy-2",518
"709","Fourdrain-2",432
"710","Francilly-Selency-2",512
"711","Franqueville-2",116
"712","Fresnes-en-Tardenois-2",270
"713","Fresnes-sous-Coucy-2",163
"714","Fresnoy-le-Grand-2",3022
"715","Fressancourt-2",195
"716","Frieres-Faillouel-2",1006
"717","Froidestrees-2",176
"718","Froidmont-Cohartille-2",267
"719","Gandelu-2",695
"720","Gauchy-2",5328
"721","Gercy-2",272
"722","Gergny-2",136
"723","Germaine-2",81
"724","Gibercourt-2",42
"725","Gizy-2",679
"726","Gland-2",454
"727","Goudelancourt-les-Berrieux-2",57
"728","Goudelancourt-les-Pierrepont-2",137
"729","Goussancourt-2",118
"730","Gouy-2",570
"731","Grand-Rozoy-2",307
"732","Grand-Verly-2",138
"733","Grandlup-et-Fay-2",304
"734","Grandrieux-2",84
"735","Gricourt-2",992
"736","Grisolles-2",248
"737","Gronard-2",74
"738","Grougis-2",349
"739","Grugies-2",1349
"740","Guise-2",4813
"741","Guivry-2",253
"742","Guny-2",410
"743","Guyencourt-2",262
"744","Hannapes-2",328
"745","Happencourt-2",136
"746","Haramont-2",585
"747","Harcigny-2",244
"748","Hargicourt-2",609
"749","Harly-2",1625
"750","Hartennes-et-Taux-2",368
"751","Hary-2",205
"752","Hautevesnes-2",166
"753","Hauteville-2",175
"754","Haution-2",147
"755","LaHerie-2",141
"756","LeHerie-la-Vieville-2",341
"757","Hinacourt-2",26
"758","Hirson-2",8989
"759","Holnon-2",1414
"760","Homblieres-2",1502
"761","Houry-2",57
"762","Housset-2",158
"763","Iron-2",234
"764","Itancourt-2",1063
"765","Iviers-2",234
"766","Jaulgonne-2",668
"767","Jeancourt-2",271
"768","Jeantes-2",206
"769","Joncourt-2",311
"770","Jouaignes-2",148
"771","Jumencourt-2",149
"772","Jumigny-2",66
"773","Jussy-2",1274
"774","Juvigny-2",285
"775","Juvincourt-et-Damary-2",612
"776","Laffaux-2",152
"777","Laigny-2",197
"778","Lanchy-2",39
"779","Landifay-et-Bertaignemont-2",270
"780","Landouzy-la-Cour-2",188
"781","Landouzy-la-Ville-2",543
"782","Landricourt-2",140
"783","Laniscourt-2",199
"784","Laon-2",25377
"785","Lappion-2",269
"786","Largny-sur-Automne-2",255
"787","Latilly-2",209
"788","Launoy-2",101
"789","Laval-en-Laonnois-2",250
"790","Lavaqueresse-2",207
"791","Laversine-2",165
"792","Lehaucourt-2",877
"793","Leme-2",434
"794","Lempire-2",108
"795","Lerzy-2",222
"796","Leschelle-2",278
"797","Lesdins-2",844
"798","Lesges-2",105
"799","Lesquielles-Saint-Germain-2",820
"800","Leuilly-sous-Coucy-2",429
"801","Leury-2",105
"802","Leuze-2",176
"803","Levergies-2",554
"804","Lhuys-2",141
"805","Licy-Clignon-2",76
"806","Lierval-2",122
"807","Liesse-Notre-Dame-2",1399
"808","Liez-2",396
"809","Lime-2",193
"810","Lislet-2",231
"811","Logny-les-Aubenton-2",77
"812","Longpont-2",264
"813","Lor-2",139
"814","Louatre-2",197
"815","Loupeigne-2",92
"816","Lucy-le-Bocage-2",205
"817","Lugny-2",119
"818","Luzoir-2",289
"819","Ly-Fontaine-2",120
"820","Maast-et-Violaine-2",152
"821","Machecourt-2",125
"822","Macogny-2",73
"823","Macquigny-2",375
"824","Magny-la-Fosse-2",127
"825","Maissemy-2",248
"826","Maizy-2",411
"827","LaMalmaison-2",411
"828","Malzy-2",204
"829","Manicamp-2",306
"830","Marchais-2",431
"831","Marcy-2",175
"832","Marcy-sous-Marle-2",197
"833","Marest-Dampcourt-2",383
"834","Mareuil-en-Dole-2",238
"835","Marfontaine-2",89
"836","Margival-2",368
"837","Marigny-en-Orxois-2",506
"838","Marizy-Saint-Mard-2",51
"839","Marizy-Sainte-Genevieve-2",132
"840","Marle-2",2281
"841","Marly-Gomont-2",495
"842","Martigny-2",449
"843","Martigny-Courpierre-2",132
"844","Mauregny-en-Haye-2",422
"845","Mayot-2",214
"846","Mennessis-2",401
"847","Mennevret-2",675
"848","Mercin-et-Vaux-2",985
"849","Merlieux-et-Fouquerolles-2",270
"850","Mesbrecourt-Richecourt-2",312
"851","Mesnil-Saint-Laurent-2",494
"852","Meurival-2",54
"853","Mezieres-sur-Oise-2",524
"854","Mezy-Moulins-2",525
"855","Missy-aux-Bois-2",99
"856","Missy-les-Pierrepont-2",108
"857","Missy-sur-Aisne-2",642
"858","Molain-2",156
"859","Molinchart-2",342
"860","Monampteuil-2",132
"861","Monceau-le-Neuf-et-Faucouzy-2",330
"862","Monceau-le-Waast-2",230
