COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
codeGeo;Code du quartier prioritaire;QP013047;Les Olives;CHAR;8
codeGeo;Code du quartier prioritaire;QP013048;La Simiane La Paternelle;CHAR;8
codeGeo;Code du quartier prioritaire;QP013049;Bon Secours Les Rosiers Marine Bleue Grand Saint Barthélémy Saint Jérôme;CHAR;8
codeGeo;Code du quartier prioritaire;QP013050;Le Castellas Les Micocouliers Saint Joseph;CHAR;8
codeGeo;Code du quartier prioritaire;QP013051;La Castellane La Bricarde Plan D'Aou Saint Antoine;CHAR;8
codeGeo;Code du quartier prioritaire;QP013052;Consolat Ruisseau Mirabeau;CHAR;8
codeGeo;Code du quartier prioritaire;QP013053;La Calade Campagne Lévèque;CHAR;8
codeGeo;Code du quartier prioritaire;QP013054;Les Aygalades;CHAR;8
codeGeo;Code du quartier prioritaire;QP013055;Kalliste La Granière La Solidarité;CHAR;8
codeGeo;Code du quartier prioritaire;QP013056;La Savine;CHAR;8
codeGeo;Code du quartier prioritaire;QP013057;Les Tilleuls La Maurelette;CHAR;8
codeGeo;Code du quartier prioritaire;QP013058;La Cabucelle;CHAR;8
codeGeo;Code du quartier prioritaire;QP013059;La Visitation - Bassens;CHAR;8
codeGeo;Code du quartier prioritaire;QP013060;Saint André;CHAR;8
codeGeo;Code du quartier prioritaire;QP013061;Le Prépaou;CHAR;8
codeGeo;Code du quartier prioritaire;QP013062;La Carraire;CHAR;8
codeGeo;Code du quartier prioritaire;QP013063;La Maille;CHAR;8
codeGeo;Code du quartier prioritaire;QP013064;La Soude Bengale;CHAR;8
codeGeo;Code du quartier prioritaire;QP013065;Caillols La Moularde;CHAR;8
codeGeo;Code du quartier prioritaire;QP014001;Chemin Vert;CHAR;8
codeGeo;Code du quartier prioritaire;QP014002;Grâce De Dieu;CHAR;8
codeGeo;Code du quartier prioritaire;QP014003;Guérinière;CHAR;8
codeGeo;Code du quartier prioritaire;QP014004;Pierre Heuzé;CHAR;8
codeGeo;Code du quartier prioritaire;QP014005;Calvaire Saint Pierre;CHAR;8
codeGeo;Code du quartier prioritaire;QP014006;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP014007;Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie;CHAR;8
codeGeo;Code du quartier prioritaire;QP014008;Canteloup - Marronniers - Honfleur;CHAR;8
codeGeo;Code du quartier prioritaire;QP014009;Hauteville;CHAR;8
codeGeo;Code du quartier prioritaire;QP015001;Aurillac Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP016001;Basseau - Grande Garenne;CHAR;8
codeGeo;Code du quartier prioritaire;QP016002;Ma Campagne;CHAR;8
codeGeo;Code du quartier prioritaire;QP016003;Bel Air - La Grand Font;CHAR;8
codeGeo;Code du quartier prioritaire;QP016004;L'Etang Des Moines;CHAR;8
codeGeo;Code du quartier prioritaire;QP016005;Champ De Manoeuvre;CHAR;8
codeGeo;Code du quartier prioritaire;QP016006;Crouin;CHAR;8
codeGeo;Code du quartier prioritaire;QP017001;Mireuil;CHAR;8
codeGeo;Code du quartier prioritaire;QP017002;Villeneuve-Les-Salines;CHAR;8
codeGeo;Code du quartier prioritaire;QP017003;Bellevue - Boiffiers;CHAR;8
codeGeo;Code du quartier prioritaire;QP017004;Centre Ville - Avant-Garde;CHAR;8
codeGeo;Code du quartier prioritaire;QP017005;Le Petit Marseille;CHAR;8
codeGeo;Code du quartier prioritaire;QP017006;Eco quartier l'Yeuse-La Robinière;CHAR;8
codeGeo;Code du quartier prioritaire;QP017007;Port-Neuf;CHAR;8
codeGeo;Code du quartier prioritaire;QP018001;Bourges Nord;CHAR;8
codeGeo;Code du quartier prioritaire;QP018002;Val D'Auron - Bourges;CHAR;8
codeGeo;Code du quartier prioritaire;QP018003;Le Vernet - Saint Amand Montrond;CHAR;8
